Book Name,Author,Rating,Customers_Rated,Href
"
La confession d'un enfant du siècle
",Alfred de Musset,3.7,"1,783 r",https://www.goodreads.com/book/show/1481738.La_confession_d_un_enfant_du_si_cle
"
Memoirs of Casanova — Volume 30: Old Age and Death
",Giacomo Casanova,4.3,12 rati,https://www.goodreads.com/book/show/6654188-memoirs-of-casanova-volume-30
"
Servitude and Grandeur of Arms
",Alfred de Vigny,3.7,79 rati,https://www.goodreads.com/book/show/561429.Servitude_and_Grandeur_of_Arms
"
The Phantom Ship
",Frederick Marryat,3.4,447 rat,https://www.goodreads.com/book/show/1294145.The_Phantom_Ship
"
Stello
",Alfred de Vigny,3.8,51 rati,https://www.goodreads.com/book/show/2067862.Stello
"
La Morte Amoureuse
",Théophile Gautier,3.7,"1,743 r",https://www.goodreads.com/book/show/854456.La_Morte_Amoureuse
"
The Queen's Tiara
",Carl Jonas Love Almqvist,3.4,492 rat,https://www.goodreads.com/book/show/784593.The_Queen_s_Tiara
"
Бородино
",Mikhail Lermontov,4.1,"1,448 r",https://www.goodreads.com/book/show/2937227
"
La Comédie de la Mort
",Thophile Gautier,eal,0 avg r,https://www.goodreads.com/book/show/7744170-la-com-die-de-la-mort
"
Essays And Poems
",Jones Very,eal,0 avg r,https://www.goodreads.com/book/show/9873052-essays-and-poems
"
El Pelayo [fragmentos]
",José de Espronceda,eal,0 avg r,https://www.goodreads.com/book/show/33228222-el-pelayo-fragmentos
"
Canción del pirata
",José de Espronceda,4.2,161 rat,https://www.goodreads.com/book/show/19088011-canci-n-del-pirata
"
I Loved You
",Alexander Pushkin,4.1,26 rati,https://www.goodreads.com/book/show/21210733-i-loved-you
"
Death of the Poet
",Mikhail Lermontov,4.2,13 rati,https://www.goodreads.com/book/show/33013021-death-of-the-poet
"
Маскарад
",Mikhail Lermontov,4.1,"1,346 r",https://www.goodreads.com/book/show/1243773._
"
Lorenzaccio
",Alfred de Musset,3.6,"3,937 r",https://www.goodreads.com/book/show/394487.Lorenzaccio
"
On ne badine pas avec l'amour
",Alfred de Musset,3.6,"4,431 r",https://www.goodreads.com/book/show/570255.On_ne_badine_pas_avec_l_amour
"
Les Caprices de Marianne
",Alfred de Musset,3.4,"1,101 r",https://www.goodreads.com/book/show/6527343-les-caprices-de-marianne
"
Chatterton
",Alfred de Vigny,3.2,219 rat,https://www.goodreads.com/book/show/1692012.Chatterton
"
Don Álvaro o la fuerza del sino
",Duque de Rivas,3.4,"2,418 r",https://www.goodreads.com/book/show/2153333.Don_lvaro_o_la_fuerza_del_sino
"
Nie-Boska komedia
",Zygmunt Krasiński,2.5,"6,187 r",https://www.goodreads.com/book/show/1841692.Nie_Boska_komedia
"
The Red Notebook
",Benjamin Constant,3.3,59 rati,https://www.goodreads.com/book/show/13199447-the-red-notebook
