Book Name,Author,Rating,Customers_Rated,Href
"
The Unparalleled Adventure of One Hans Pfaall
",Edgar Allan Poe,3.0,"1,203 r",https://www.goodreads.com/book/show/3336787-the-unparalleled-adventure-of-one-hans-pfaall
"
William Wilson
",Edgar Allan Poe,3.8,"3,927 r",https://www.goodreads.com/book/show/6798492-william-wilson
"
The Assignation
",Edgar Allan Poe,3.0,937 rat,https://www.goodreads.com/book/show/3336817-the-assignation
"
The French Revolution: A History
",Thomas Carlyle,3.8,957 rat,https://www.goodreads.com/book/show/318236.The_French_Revolution
"
Münchhausen: Eine Geschichte in Arabesken
",Karl Immermann,3.7,13 rati,https://www.goodreads.com/book/show/8403507-m-nchhausen
"
The Elixir Of Life
",Honoré de Balzac,3.4,524 rat,https://www.goodreads.com/book/show/3784205-the-elixir-of-life
"
Sartor Resartus
",Thomas Carlyle,3.6,"1,043 r",https://www.goodreads.com/book/show/52998.Sartor_Resartus
"
Leonce und Lena
",Georg Büchner,3.3,"1,044 r",https://www.goodreads.com/book/show/1690781.Leonce_und_Lena
"
The City in the Sea
",Edgar Allan Poe,3.7,328 rat,https://www.goodreads.com/book/show/25713476-the-city-in-the-sea
"
The Last Days of Pompeii
",Edward Bulwer-Lytton,3.5,"2,284 r",https://www.goodreads.com/book/show/888.The_Last_Days_of_Pompeii
"
Teutonic Mythology Vol. 1 (Volume 1)
",Jacob Grimm,4.1,52 rati,https://www.goodreads.com/book/show/1706738.Teutonic_Mythology_Vol_1
"
Essay on the Freedom of the Will
",Arthur Schopenhauer,4.1,748 rat,https://www.goodreads.com/book/show/19511.Essay_on_the_Freedom_of_the_Will
"
Life of Black Hawk, or Ma-ka-tai-me-she-kia-kiak: Dictated by Himself
",Black Hawk,3.5,333 rat,https://www.goodreads.com/book/show/2378955.Life_of_Black_Hawk_or_Ma_ka_tai_me_she_kia_kiak
"
Ruy Blas
",Victor Hugo,3.5,"3,060 r",https://www.goodreads.com/book/show/1246292.Ruy_Blas
"
Young Goodman Brown
",Nathaniel Hawthorne,3.6,"14,221 ",https://www.goodreads.com/book/show/562471.Young_Goodman_Brown
"
The Philosophy of History
",Georg Wilhelm Friedrich Hegel,3.8,"3,479 r",https://www.goodreads.com/book/show/25241.The_Philosophy_of_History
"
The Emperor's New Clothes
",Hans Christian Andersen,3.9,"14,323 ",https://www.goodreads.com/book/show/343002.The_Emperor_s_New_Clothes
"
Introductory Lectures on Aesthetics
",Georg Wilhelm Friedrich Hegel,3.8,"1,202 r",https://www.goodreads.com/book/show/117249.Introductory_Lectures_on_Aesthetics
"
Gobseck
",Honoré de Balzac,3.8,"2,399 r",https://www.goodreads.com/book/show/19735373-gobseck
"
Deerbrook
",Harriet Martineau,3.7,366 rat,https://www.goodreads.com/book/show/1339655.Deerbrook
"
Bon-Bon
",Edgar Allan Poe,3.2,526 rat,https://www.goodreads.com/book/show/6328746-bon-bon
"
Goldilocks And The Three Bears
",Robert Southey,3.9,705 rat,https://www.goodreads.com/book/show/1744764.Goldilocks_And_The_Three_Bears
"
Loss of Breath
",Edgar Allan Poe,3.1,519 rat,https://www.goodreads.com/book/show/6643787-loss-of-breath
"
Colonel Chabert
",Honoré de Balzac,3.6,"5,682 r",https://www.goodreads.com/book/show/850317.Colonel_Chabert
"
Crotchet Castle
",Thomas Love Peacock,3.4,103 rat,https://www.goodreads.com/book/show/2778207-crotchet-castle
"
On War
",Carl von Clausewitz,3.9,"13,249 ",https://www.goodreads.com/book/show/117031.On_War
"
The Spirit of the Age
",John Stuart Mill,3.8,9 ratin,https://www.goodreads.com/book/show/217728.The_Spirit_of_the_Age
"
Dichtung und Wahrheit
",Johann Wolfgang von Goethe,3.7,259 rat,https://www.goodreads.com/book/show/24977940-dichtung-und-wahrheit
"
Kordian. Część pierwsza trylogii. Spisek koronacyjny
",Juliusz Słowacki,2.8,"8,959 r",https://www.goodreads.com/book/show/2429069.Kordian_Cz_pierwsza_trylogii_Spisek_koronacyjny
"
The Only True Mother Goose Melodies: An Exact Reproduction of the Text and Illustrations of the Original Edition Published and Copyrighted in Boston in the Year 1833 by Munroe & Francis
",Edward Everett Hale,3.8,25 rati,https://www.goodreads.com/book/show/12237138-the-only-true-mother-goose-melodies
"
Sunday under Three Heads
",Charles Dickens,3.4,99 rati,https://www.goodreads.com/book/show/6473272-sunday-under-three-heads
"
Dziady
",Adam Mickiewicz,3.3,"9,256 r",https://www.goodreads.com/book/show/1841696.Dziady
"
The Poetical Works of Samuel Taylor Coleridge
",Samuel Taylor Coleridge,4.0,"6,258 r",https://www.goodreads.com/book/show/6393001-the-poetical-works-of-samuel-taylor-coleridge
"
Sketches of Young Gentlemen
",Charles Dickens,3.4,81 rati,https://www.goodreads.com/book/show/7421230-sketches-of-young-gentlemen
"
Morella
",Edgar Allan Poe,3.5,"2,213 r",https://www.goodreads.com/book/show/10835604-morella
